index,review_title,review_text,review_rating,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos
0,"Which iPhone you should Purchase ? iPhone 8, X, XS, XR ?",NOTE:,3.0,0.0,1.0,0.0,0.0,0.18636045,0.68554324,0.12809634
1,Don't buy iPhone xr from Amazon.,Very bad experience with this iPhone xr phone. Back camera found defective and non functional. Amazon is very careless. I haven't got any response on confirmation for replacing. I am just hanging with a damaged piece worth of more than 91000 rupees.,1.0,0.253,0.674,0.073,-0.8685,0.96606654,0.030888407,0.003045003
2,Happy with the purchase,Amazing phone with amazing camera coming from iPhone 7 plus great service from amazon,5.0,0.0,0.402,0.598,0.9246,0.0015096539,0.011284741,0.9872056
3,Amazon is not an apple authorised reseller. Please take a note.,"So I got the iPhone XR just today. The product looks amazing. But unfortunately the Face ID is not working and there’s a glitch in the front camera’s portrait mode. That’s fine, it may happen. But what’s not fine is the pathetic service provided by amazon and apple. Firstly, amazon takes no responsibility of the product once sold. Talking about the giant, apple, the so called market leaders. Went to the service centre, after running a diagnostic the solution they came up with is sending the phone to Bangalore for repair. Like sending the new phone for repair is the practical solution that the company provides after charging a bomb for the product. And also to mention, amazon.in is not an authorised apple reseller. I guess this issue will be escalated to the consumer court. Thank you amazon and apple!",1.0,0.094,0.747,0.158,0.75,0.39513797,0.3614511,0.24341103
4,Excellent Battery life and buttery smooth UI,"I've been an android user all my life until I decided to try iPhone XR for iOS. Loving the camera and battery life is an absolute joy to have. It's been more than one month since I got this phone and I'm loving it. Face ID works flawlessly even in the dark and the dual sim function is working like a charm, I'm using Vodafone as my primary sim and Jio as e-sim and have faced no problem whatsoever.",5.0,0.054,0.743,0.203,0.9287,0.002133986,0.0068221837,0.9910438
5,Never purchase a phone online.,I was delivered a phone that did not work immediately after removing from the box. I was not able to return it as I need to first check with Apple. Apple service told me that the phone was lying without charge since 5 months and hence the battery failed. Now I have had to leave the phone with Apple for repairs and waiting for them to replace the battery. Please answer this: WHY SHOULD I RUN AROUND FOR THE SUB PAR QUALITY DEVICE WHEN I WAS SHIPPED A DEAD PHONE? Last time I ever purchase a phone online,1.0,0.133,0.843,0.024,-0.8918,0.9195316,0.07262647,0.007841952
6,Awesome iPhone,"It has been a month since I started using my iPhone XR and the experience has been awesome. Excellent battery life, smooth operating system, and most of all, dual Sim functionality are the best features of this iPhone. Spent so many days to decide on the colour, but opted for white, and I’m very happy about it. Coral is also a very good colour option which I have bought for my wife. Only issue bothering me is the time taken to charge the phone. You need to opt for overnight charging. Other than that, extremely happy with the purchase.",5.0,0.03,0.771,0.199,0.9655,0.004182442,0.0146573195,0.9811602
7,Exchange of I phone xr with xs.,The phone is hanging. Video quality is not very good.,1.0,0.226,0.774,0.0,-0.3865,0.96073306,0.035816804,0.0034501327
8,Worth upgrading from the 6S? I'll know in a few months,I'll use this review to mostly say what I'm not a fan of in this particular iPhone model.,4.0,0.109,0.891,0.0,-0.2411,0.8152231,0.17488272,0.00989423
9,Def a bad experience,Went with the iPhone XR after over a month of consideration.Amazon was offering some really good discounts and felt the time was right to upgrade having used the iPhone 6 for four seamless years.,1.0,0.0,0.907,0.093,0.4927,0.0011995746,0.018226027,0.98057437
10,"Which iPhone you should Purchase ? iPhone 8, X, XS, XR ?",NOTE:,3.0,0.0,1.0,0.0,0.0,0.18636045,0.68554324,0.12809634
11,Don't buy iPhone xr from Amazon.,Very bad experience with this iPhone xr phone. Back camera found defective and non functional. Amazon is very careless. I haven't got any response on confirmation for replacing. I am just hanging with a damaged piece worth of more than 91000 rupees.,1.0,0.253,0.674,0.073,-0.8685,0.96606654,0.030888407,0.003045003
12,Happy with the purchase,Amazing phone with amazing camera coming from iPhone 7 plus great service from amazon,5.0,0.0,0.402,0.598,0.9246,0.0015096539,0.011284741,0.9872056
13,Amazon is not an apple authorised reseller. Please take a note.,"So I got the iPhone XR just today. The product looks amazing. But unfortunately the Face ID is not working and there’s a glitch in the front camera’s portrait mode. That’s fine, it may happen. But what’s not fine is the pathetic service provided by amazon and apple. Firstly, amazon takes no responsibility of the product once sold. Talking about the giant, apple, the so called market leaders. Went to the service centre, after running a diagnostic the solution they came up with is sending the phone to Bangalore for repair. Like sending the new phone for repair is the practical solution that the company provides after charging a bomb for the product. And also to mention, amazon.in is not an authorised apple reseller. I guess this issue will be escalated to the consumer court. Thank you amazon and apple!",1.0,0.094,0.747,0.158,0.75,0.39513797,0.3614511,0.24341103
14,Excellent Battery life and buttery smooth UI,"I've been an android user all my life until I decided to try iPhone XR for iOS. Loving the camera and battery life is an absolute joy to have. It's been more than one month since I got this phone and I'm loving it. Face ID works flawlessly even in the dark and the dual sim function is working like a charm, I'm using Vodafone as my primary sim and Jio as e-sim and have faced no problem whatsoever.",5.0,0.054,0.743,0.203,0.9287,0.002133986,0.0068221837,0.9910438
15,Never purchase a phone online.,I was delivered a phone that did not work immediately after removing from the box. I was not able to return it as I need to first check with Apple. Apple service told me that the phone was lying without charge since 5 months and hence the battery failed. Now I have had to leave the phone with Apple for repairs and waiting for them to replace the battery. Please answer this: WHY SHOULD I RUN AROUND FOR THE SUB PAR QUALITY DEVICE WHEN I WAS SHIPPED A DEAD PHONE? Last time I ever purchase a phone online,1.0,0.133,0.843,0.024,-0.8918,0.9195316,0.07262647,0.007841952
16,Awesome iPhone,"It has been a month since I started using my iPhone XR and the experience has been awesome. Excellent battery life, smooth operating system, and most of all, dual Sim functionality are the best features of this iPhone. Spent so many days to decide on the colour, but opted for white, and I’m very happy about it. Coral is also a very good colour option which I have bought for my wife. Only issue bothering me is the time taken to charge the phone. You need to opt for overnight charging. Other than that, extremely happy with the purchase.",5.0,0.03,0.771,0.199,0.9655,0.004182442,0.0146573195,0.9811602
17,Exchange of I phone xr with xs.,The phone is hanging. Video quality is not very good.,1.0,0.226,0.774,0.0,-0.3865,0.96073306,0.035816804,0.0034501327
18,Worth upgrading from the 6S? I'll know in a few months,I'll use this review to mostly say what I'm not a fan of in this particular iPhone model.,4.0,0.109,0.891,0.0,-0.2411,0.8152231,0.17488272,0.00989423
19,Def a bad experience,Went with the iPhone XR after over a month of consideration.Amazon was offering some really good discounts and felt the time was right to upgrade having used the iPhone 6 for four seamless years.,1.0,0.0,0.907,0.093,0.4927,0.0011995746,0.018226027,0.98057437
20,Best of best quality,Best mobile  and my favourite Where nice XR Amazing futures and best camera so thanks for  Amazon,5.0,0.0,0.353,0.647,0.9646,0.0016686184,0.010844863,0.9874865
21,Horrible Experience with Amazon,"Don't buy Apple products from Amazon. I got a defective product which is not activating. During first charging the iPhone started heating like anything. Since there was a 10 days replacement policy, so I asked Amazon to replace it as the product is defective. But very poor customer service from Amazon. They didn't change the iPhone rather told me to visit service centre. Now I am with a defective product which is not operating.",1.0,0.157,0.761,0.082,-0.8334,0.9023754,0.08605694,0.011567684
22,It fulfilled my expectations.,Face recognition is slower some times. I have no complaints about it. I am die hard fan of XR. I was eagerly waiting for dual sim iPhone. It’s heavy but looks are so attractive that you will be ready to carry that little extra weight. I am using it since two months. Don’t watch any reviews. Just buy it and enjoy. Yes it’s expensive. Sometimes rather many times money is not worth than happiness.,5.0,0.143,0.64,0.217,0.865,0.046059374,0.1597738,0.79416686
23,"Great phone, if you don't care about OLED screen, colors","Great Phone, I am happy with the phone so far.",5.0,0.0,0.473,0.527,0.8316,0.0014403204,0.008877756,0.9896819
24,A Dark Horse,"There are lots of reviews on net for XR, I would give just quick points based on my experience of XR 128 GB.",5.0,0.0,1.0,0.0,0.0,0.03133151,0.71832865,0.25033984
25,Hang’s many time,Don’t buy this phone only waste of money it hang’s many time.,2.0,0.203,0.797,0.0,-0.4215,0.86770463,0.116348386,0.015947005
26,I PHONE  THOFE ME MILE THO LELO,STEVE JOBS GONE i phone gone !!!!!!,1.0,0.0,1.0,0.0,0.0,0.43931955,0.42910716,0.13157323
27,Network Issue if you are using dual sim in iPhone XR,Single SIM is working fine but if you are using E-sim in this phone. Not good quality for dual sim. Many times Number showing switched off.,3.0,0.107,0.794,0.098,-0.3091,0.6853215,0.28049055,0.03418798
28,Not supporting any sim,It is not supporting any type of sim.. the network gets disconnected after sometime only,1.0,0.147,0.853,0.0,-0.3412,0.9472027,0.050038047,0.0027593677
29,Best Buy!! iPhone XR full fills the dream of big iPhone,"i always was unhappy with the size of my previous iPhones (iPhone 7 and 5s), I badly needed an upgrade and but don’t have the budget of 1lakh so I took my chances with XR and I am very happy with my purchase.",5.0,0.086,0.739,0.176,0.7299,0.10092769,0.24545352,0.6536188
30,Disappointment for an iPhone,This is a product which lets down the whole high end feel of an iPhone. Apple has packed in a very sophisticated software hardware system in a rather disappointing design and the phone is bulkier and heavier than any of its competition in the market. The premium feel of the product is completely let down and left to enjoy is a good software interface of ios and an excellent camera. Overall a cheap buy for an apple lover but for a first time user the phone is totally let down.,3.0,0.023,0.854,0.123,0.799,0.6289699,0.26770917,0.10332088
31,Fake handsetset received,Im facing some speaker related issues and had given my handset XR 64 Gb in service center they denied to repair the same stating that the handset is fake and not valid for any warrenty,1.0,0.154,0.846,0.0,-0.7184,0.8855316,0.110565215,0.0039032504
32,Go for XR if you confused between X and XR,All in all an amazing product yet again from Apple. I know many people are confused wheather to go for an apple X or Xr. Well to be frank i suggest XR purely because of the fact that XR will have 1yr more support from Apple in respect to X.  Other than that the dual camera of X and single camera of XR have the same quality. As far as speed goes both are same. Xr is dual sim but you gotta understand you can insert just 1 sim. The 2nd sim is an eSim which needs to be activated by Telecom service providers. Theres not much difference in display as well. All in all XR rules,5.0,0.014,0.896,0.09,0.7904,0.019629927,0.18139815,0.79897195
